model,problem_id,problem_title,status,processing_time,rounds,total_candidates,difficulty
deepseek-r1-distill,shortest-distance-after-road-addition-queries-i,,solved,135.45645952224731,0,3,Medium
deepseek-r1-distill,number-of-subsequences-with-odd-sum,,unsolved,2092.3632707595825,0,38,Medium
deepseek-r1-distill,count-the-number-of-good-nodes,,solved,1368.1190533638,0,20,Medium
deepseek-r1-distill,construct-string-with-minimum-cost-easy,,solved,53.559171199798584,0,3,Medium
deepseek-r1-distill,find-the-power-of-k-size-subarrays-i,,solved,40.08288335800171,0,3,Medium
deepseek-r1-distill,find-the-power-of-k-size-subarrays-ii,,solved,77.42352795600891,0,3,Medium
deepseek-r1-distill,maximum-energy-boost-from-two-drinks,,solved,667.0679349899292,0,12,Medium
deepseek-r1-distill,count-almost-equal-pairs-i,,unsolved,2105.659715652466,0,38,Medium
deepseek-r1-distill,hash-divided-string,,solved,46.54003930091858,0,3,Medium
deepseek-r1-distill,k-th-nearest-obstacle-queries,,solved,47.20435667037964,0,3,Medium
deepseek-r1-distill,maximize-score-of-numbers-in-ranges,,solved,920.8466017246246,0,21,Medium
deepseek-r1-distill,reach-end-of-array-with-max-score,,solved,551.326562166214,0,9,Medium
deepseek-r1-distill,sum-of-consecutive-subarrays,,unsolved,2813.618152856827,0,36,Medium
deepseek-r1-distill,find-a-safe-walk-through-a-grid,,solved,1159.6825380325317,0,18,Medium
deepseek-r1-distill,maximum-multiplication-score,,solved,909.0420851707458,0,15,Medium
deepseek-r1-distill,minimum-number-of-valid-strings-to-form-target-i,,solved,553.9971973896027,0,12,Medium
deepseek-r1-distill,report-spam-message,,solved,35.775731801986694,0,3,Medium
deepseek-r1-distill,minimum-number-of-seconds-to-make-mountain-height-zero,,solved,552.7519402503967,0,12,Medium
deepseek-r1-distill,count-substrings-that-can-be-rearranged-to-contain-a-string-i,,unsolved,2520.232941389084,0,33,Medium
deepseek-r1-distill,maximize-the-total-height-of-unique-towers,,unsolved,1998.9513049125671,0,33,Medium
qwen2-5-coder,shortest-distance-after-road-addition-queries-i,,solved,117.0347511768341,0,3,Medium
qwen2-5-coder,number-of-subsequences-with-odd-sum,,unsolved,699.7140374183655,0,39,Medium
qwen2-5-coder,count-the-number-of-good-nodes,,unsolved,739.7826747894287,0,33,Medium
qwen2-5-coder,construct-string-with-minimum-cost-easy,,solved,46.961291790008545,0,3,Medium
qwen2-5-coder,find-the-power-of-k-size-subarrays-i,,solved,39.304664611816406,0,3,Medium
qwen2-5-coder,find-the-power-of-k-size-subarrays-ii,,solved,41.09847569465637,0,3,Medium
qwen2-5-coder,maximum-energy-boost-from-two-drinks,,solved,58.772029638290405,0,3,Medium
qwen2-5-coder,count-almost-equal-pairs-i,,unsolved,646.4538617134094,0,39,Medium
qwen2-5-coder,hash-divided-string,,solved,32.08225774765015,0,3,Medium
qwen2-5-coder,k-th-nearest-obstacle-queries,,solved,301.5913016796112,0,18,Medium
qwen2-5-coder,maximize-score-of-numbers-in-ranges,,solved,225.82152557373047,0,12,Medium
qwen2-5-coder,reach-end-of-array-with-max-score,,solved,34.29464554786682,0,3,Medium
qwen2-5-coder,sum-of-consecutive-subarrays,,unsolved,842.3799118995667,0,39,Medium
